"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"69",69,-4.25678274689645,0.531239644592783,-2.94372596784755,0.329871719651856,-2.71627862728525,0.465229588167772,1.6879360511899,"GYN",1.225
"70",70,-4.25678274689645,0.531239644592783,-2.9466580739219,0.388224753345855,-2.63092956988818,0.532560019992364,1.6879360511899,"GYN",1.325
"71",71,-4.25678274689645,0.531239644592783,-2.37840326938597,0.474209642592511,-1.96967025492986,0.495183998111115,1.6879360511899,"GYN",1.575
"72",72,-4.14361185245566,0.618466442149526,-2.65364887128834,0.14521997248119,-2.61302040456734,0.215954150634086,3.62510454207659,"GYN",1.075
"73",73,-4.14361185245566,0.618466442149526,-2.46331167784942,0.291866555018485,-2.33218888931777,0.337431941571421,3.62510454207659,"GYN",1.175
"74",74,-4.1932624216533,0.492397653566805,-2.36663859629779,0.783594987121774,-1.35013889521357,0.40725329523212,3.30549029633403,"GYR",0.725
"75",75,-4.1511647009121,0.398965577654227,-3.26672266079154,0.286827285322919,-3.04973905193167,0.33204793622374,3.02733239382505,"GYR",0.275
"76",76,-4.1511647009121,0.398965577654227,-2.8245847604232,0.641352308532738,-1.54566213554647,0.545505290089306,3.02733239382505,"GYR",0.475
"77",77,-4.1511647009121,0.398965577654227,-3.04977634685255,0.685092876233085,-1.38612743996526,0.482798542055055,3.02733239382505,"GYR",0.525
"78",78,-3.86826064521053,0.709214872664205,-3.01125389054305,0.229525642492535,-2.97434832345387,0.241645299128463,4.3965392164886,"GYR",-0.375
"79",79,-3.80299922409094,0.704999623113153,-2.64468318010194,0.307174548969305,-2.5634133564022,0.319317841121225,7.50166327133775,"GYR",-0.025
"80",80,-3.80299922409094,0.704999623113153,-2.50762624842678,0.427739060647828,-2.37105945078922,0.387541530660637,7.50166327133775,"GYR",-0.075
"81",81,-3.80299922409094,0.704999623113153,-2.87958800173441,0.253850781421011,-2.84583247399628,0.22811688605978,7.50166327133775,"GYR",-0.125
"82",82,-3.80299922409094,0.704999623113153,-2.68869535607472,0.336497473902436,-2.57492963548543,0.384729395203069,7.5203161843121,"GYR",-0.175
"83",83,-3.80299922409094,0.704999623113153,-1.79783645145831,0.888170851240826,-0.98680102425205,0.475150810247352,7.5453495003283,"GYR",0.575
"84",84,-3.96886783995246,0.5397961872479,-2.86620889081601,0.158656738388132,-2.83634110282019,0.151678539882428,5.4104373447597,"GYR",0.475
"85",85,-3.96886783995246,0.5397961872479,-2.81111152932373,0.419237331674649,-2.60701925452908,0.383049274810962,5.4104373447597,"GYR",0.875
"86",86,-3.96886783995246,0.5397961872479,-2.76344909169746,0.156495110573528,-2.73648686444188,0.136806979273673,5.4104373447597,"GYR",0.975
"87",87,-3.96886783995246,0.5397961872479,-2.06252279203363,0.838598683827718,-1.11293943336713,0.400783219269435,5.4104373447597,"GYR",1.075
"88",88,-4.3018634905071,0.434127199945491,-2.48722533557578,0.553693159533006,-2.14299769943357,0.525087581524347,-1.54875940158963,"GYR",0.525
"89",89,-4.3018634905071,0.434127199945491,-2.8585179544757,0.204043779303929,-2.78539146910084,0.209183366309532,-1.54875940158963,"GYR",0.575
"90",90,-4.3018634905071,0.434127199945491,-2.10161481991568,0.455901302934744,-1.86657069081207,0.460737438007317,-1.57406011787908,"GYR",0.825
"91",91,-4.3018634905071,0.434127199945491,-2.46849569124949,0.925406627243758,-1.70550477747434,0.491404089918828,-1.56843773648143,"GYR",0.975
"92",92,-4.3018634905071,0.434127199945491,-1.7863866030988,0.93882839769061,-1.04048714685409,0.400199798024162,-1.5708975283429,"GYR",1.175
